titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion,imagen_portada
Juan Martín el Empecinado,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Primera serie,"El general Juan Martín Díez el Empecinado es retratado por Galdós como un héroe lleno de humanidad que protagoniza diálogos muy divertidos por su tosco vocabulario, pero es también un hombre valiente, fiero, noble y prudente, que despierta el respeto incluso de sus enemigos. Persona de firmes convicciones liberales, terminó por enfrentarse al propio Fernando VII, al no respetar éste la Constitución de 1812, y fue desterrado a Portugal. Al intentar de nuevo penetrar en España fue capturado, torturado y exhibido en una jaula antes de ser condenado a la horca. Su perseverancia al defender sus ideales ha hecho que “empecinado” signifique hoy en día obstinación y que él sea recordado como uno de los más grandes defensores de la libertad en España.",https://ww3.lectulandia.co/book/juan-martin-el-empecinado/,Clásico,2026-09-06 12:55:20,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/Juan%20Martin%20el%20Empecinado%20(13)/big.jpg
El contrato social,Jean-Jacques Rousseau,"Clásico, Filosofía, Política",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-contrato-social/,Clásico,2026-09-06 12:55:23,https://assets.lectulandia.co/b/Jean%20Jacques%20Rousseau/El%20contrato%20social%20(2)/big.jpg
El Grande Oriente,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. EL GRANDE ORIENTE recoge, en su título, el nombre de una activa sociedad secreta que intervino poderosamente en los acontecimientos que agitaron la vida política española en el «trienio constitucional» que fue de 1820 a 1823. En este periodo, dominado por una agitación política y social en la que siguieron encontrando caldo de cultivo los vicios ancestrales de la sociedad española, Salvador Monsalud continúa desgranando su azarosa trayectoria civil y sentimental.",https://ww3.lectulandia.co/book/el-grande-de-oriente/,Clásico,2026-09-06 12:55:26,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/El%20Grande%20de%20Oriente%20(3)/big.jpg
7 de julio,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. El 7 DE JULIO de 1822, fecha del levantamiento de los generales Riego y Ballesteros, quedó como fecha conmemorativa de un triunfo constitucional y popular que no sería tan duradero como pensaron los milicianos nacionales y los oradores de clubs y sociedades que celebraron su victoria sobre la conspiración urdida desde el propio Palacio. Episodio de fuerte intervención ciudadana localizado totalmente en Madrid, reúne las condiciones idóneas para que Pérez Galdós dibujara en él una estampa histórica llena de interés y vida que se entrevera con la peripecia novelesca que protagoniza en esta «Segunda serie» Salvador Monsalud.",https://ww3.lectulandia.co/book/7-de-julio/,Clásico,2026-09-06 12:55:30,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/7%20de%20julio%20(4)/big.jpg
Los cien mil hijos de san Luis,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles ­guerras, política, vida cotidiana, reacciones populares­ a lo largo del agitado siglo XIX. LOS CIEN MIL HIJOS DE SAN LUIS es la expresión irónica y popular con que fue designado el ejército francés que, a las órdenes del duque de Angulema, invadió España en 1823 para imponer nuevamente, tras el llamado «trienio constitucional», el régimen absolutista. Engarzado con la peripecia novelesca, presenciamos el inexorable avance de esta fuerza que acabó con la Constitución gaditana de 1812 en el mismo lugar donde ésta vio la luz.",https://ww3.lectulandia.co/book/los-cien-mil-hijos-de-san-luis/,Clásico,2026-09-06 12:55:34,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/Los%20cien%20mil%20hijos%20de%20san%20Luis%20(11)/big.jpg
Preparación del actor,Konstantin Stanislavski,"Clásico, Teatro",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/preparacion-del-actor/,Clásico,2026-09-06 12:55:35,https://assets.lectulandia.co/b/Constantin%20Stanislavsky/Preparacion%20del%20actor%20(2)/big.jpg
El terror de 1824,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. Secuela del contundente fin que impusieron al «trienio liberal» los «Cien mil hijos de San Luis», objeto del episodio anterior, EL TERROR DE 1824 contribuyó a mantener el régimen fernandino, persiguiendo implacablemente los brotes de pensamiento liberal. Pasada la época de las grandes gestas populares, la acción –nuevamente situada en Madrid como escenario– se dispersa en hechos menores, de un heroísmo distinto: la conspiración y la muerte por un ideal.",https://ww3.lectulandia.co/book/el-terror-de-1824/,Clásico,2026-09-06 12:55:38,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/El%20terror%20de%201824%20(9)/big.jpg
Los apostólicos,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. Los apostólicos, nombre que recibían los que andando el tiempo integrarían el bando carlista, recoge como transfondo un momento crítico de la historia española: el de los últimos tiempos del reinado de Fernando VII, casado ya con la napolitana María cristina, y las intrigas en torno a la sucesión del trono.",https://ww3.lectulandia.co/book/los-apostolicos/,Clásico,2026-09-06 12:55:40,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/Los%20apostolicos%20(11)/big.jpg
Un faccioso más y algunos frailes menos,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. UN FACCIOSO MÁS Y ALGUNOS FRAILES MENOS es un juego de palabras que apunta a dos hechos de diversa magnitud y carácter: el alzamiento carlista y la matanza de frailes de 1834. Sobre tan difícil momento histórico se anuda el hilo novelesco que ha enhebrado los diez Episodios de esta Segunda Serie, con el desenlace de la peripecia novelesca que tiene como polos a Sola y Salvador Monsalud.",https://ww3.lectulandia.co/book/un-faccioso-mas-y-algunos-frailes-menos/,Clásico,2026-09-06 12:55:43,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/Un%20faccioso%20mas%20y%20algunos%20frailes%20menos%20(15)/big.jpg
Un voluntario realista,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Segunda serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles –guerras, política, vida cotidiana, reacciones populares– a lo largo del agitado siglo XIX. UN VOLUNTARIO REALISTA personifica en “Tilín” el solsonés, Pepet Armengol, un movimiento producido en la España fernandina, el levantamiento de los que consideraban a Fernando VII y su régimen como blandos y moderados. Tilín es otro de esos personajes que a Pérez Galdós le gustaba seguir en su paso de niño a hombre, en una existencia trabajosa y difícil: nieto de un sacristán de monjas, recogido por ellas en su orfandad, y al fin voluntario realista en la agitada Cataluña de aquellos días.",https://ww3.lectulandia.co/book/un-voluntario-realista/,Clásico,2026-09-06 12:55:46,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/Un%20voluntario%20realista%20(7)/big.jpg
Narraciones extraordinarias,Edgar Allan Poe,"Clásico, Terror",N/D,N/D,https://ww3.lectulandia.co/book/narraciones-extraordinarias/,Clásico,2026-09-06 12:55:48,https://assets.lectulandia.co/b/Edgar%20Allan%20Poe/Narraciones%20extraordinarias%20(2)/big.jpg
Zumalacárregui,Benito Pérez Galdós,"Clásico, Histórico",Episodios Nacionales - Tercera serie,"El gran friso narrativo de los Episodios Nacionales sirvió de vehículo a Benito Pérez Galdós (1843-1920) para recrear en él, novelescamente engarzada, la totalidad de la compleja vida de los españoles -guerras, política, vida cotidiana, reacciones populares- a lo largo del agitado siglo XIX. La España desgarrada por la Primera Guerra Carlista y la Regencia de María Cristina es la época de los siguientes episodios, cuyo eje es el romántico Fernando Calpena. Escrita entre 1898 y 1900, es decir diecinueve años después de haber concluido la anterior, Galdós retoma la historia de España en el punto en que la había dejado -la muerte de FernandoVII-, para relatar la difícil etapa de la minoría de su hija, la futura Isabel II, no reconocida por los absolutistas que proclaman rey al infante don Carlos, hermano del rey fallecido. Los liberales arropan entonces a la reina viuda, María Cristina, y se inicia la primera guerra carlista. A lo largo de la serie, Galdós seguirá las vicisitudes de los dos bandos, entre el País Vasco, donde reside la corte absolutista, y Madrid, capital del gobierno liberal, con algunas incursiones en Levante y Cataluña. Como en las serie anteriores, Galdós crea en este libro personajes ficticios que participan en los acontecimientos históricos, pero cuya vida trata de reflejar la del español de a pie. Así, el suicidio de Larra, la educación de la futura reina o la concertación de su matrimonio aparecen como acontecimientos que los personajes comentan como parte de su propio transcurrir vital. En este episodio Pérez Galdós se sirve de la figura de ZUMALACÁRREGUI -el gran caudillo popular surgido en los primeros tiempos de la guerra carlista- y de la peripecia novelesca del atormentado capellán José Fago, para -como hiciera con El Empecinado para la Guerra de la Independencia- reflejar un momento histórico que le brinda la ocasión de pintar el mundo de la guerrilla y el de las intrigas cortesanas.",https://ww3.lectulandia.co/book/zumalacarregui/,Clásico,2026-09-06 12:55:52,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/Zumalacarregui%20(11)/big.jpg
Vampiros (Ilustrado),Alexandre Dumas,"Clásico, Terror",N/D,N/D,https://ww3.lectulandia.co/book/vampiros-ilustrado/,Clásico,2026-09-06 12:55:55,https://assets.lectulandia.co/b/Varios%20Autores/Vampiros%20(Ilustrado)%20(28)/big.jpg
El cura de Tours,Honoré de Balzac,"Clásico, Relato",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-cura-de-tours/,Clásico,2026-09-06 12:55:57,https://assets.lectulandia.co/b/Honore%20de%20Balzac/El%20cura%20de%20Tours%20(23)/big.jpg
La Gaviota,Antón Chéjov,"Clásico, Drama, Teatro",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/la-gaviota/,Clásico,2026-09-06 12:56:00,https://assets.lectulandia.co/b/Anton%20Chejov/La%20Gaviota%20(8)/big.jpg
Drácula (Ilustrado),Bram Stoker,"Clásico, Fantástico, Terror",N/D,N/D,https://ww3.lectulandia.co/book/dracula-ilustrado/,Clásico,2026-09-06 12:56:04,https://assets.lectulandia.co/b/Bram%20Stoker/Dracula%20(Ilustrado)%20(17)/big.jpg
La pequeña Dorrit,Charles Dickens,Clásico,N/D,"«Obra maestra entre las obras maestras», según George B. Shaw, esta novela nos revela no sólo al Dickens más cómico y triste, más exuberante y genial, sino a un implacable fustigador de los vicios del capitalismo. Coincidiendo con el bicentenario del nacimiento de Charles Dickens Alba publica una nueva traducción de La pequeña Dorrit a cargo de Carmen Francí e Ismael Attrache y en edición de lujo. Esta es, sin lugar a dudas, una de las mejores novelas de Dickens. Un compendio monumental de su destreza narrativa, de su ingenio cómico y de su talento inigualable para crear ambientes y personajes.",https://ww3.lectulandia.co/book/la-pequena-dorrit/,Clásico,2026-09-06 12:56:07,https://assets.lectulandia.co/b/Charles%20Dickens/La%20pequena%20Dorrit%20(8)/big.jpg
Nuestro amigo común,Charles Dickens,"Clásico, Intriga",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/nuestro-amigo-comun/,Clásico,2026-09-06 12:56:09,https://assets.lectulandia.co/b/Charles%20Dickens/Nuestro%20amigo%20comun%20(4)/big.jpg
El misterio de Edwin Drood,Charles Dickens,"Clásico, Intriga",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-misterio-de-edwin-drood/,Clásico,2026-09-06 12:56:12,https://assets.lectulandia.co/b/Charles%20Dickens/El%20misterio%20de%20Edwin%20Drood%20(10)/big.jpg
Tiempos difíciles,Charles Dickens,Clásico,N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/tiempos-dificiles/,Clásico,2026-09-06 12:56:14,https://assets.lectulandia.co/b/Charles%20Dickens/Tiempos%20dificiles%20(21)/big.jpg
La tienda de antigüedades,Charles Dickens,"Clásico, Drama",N/D,N/D,https://ww3.lectulandia.co/book/la-tienda-de-antiguedades/,Clásico,2026-09-06 12:56:17,https://assets.lectulandia.co/b/Charles%20Dickens/La%20tienda%20de%20antiguedades%20(6)/big.jpg
La Señora Lirriper,Charles Dickens,Clásico,N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/la-senora-lirriper/,Clásico,2026-09-06 12:56:19,https://assets.lectulandia.co/b/Charles%20Dickens/La%20Senora%20Lirriper%20(13)/big.jpg
La casa de Shakespeare,Benito Pérez Galdós,Clásico,N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/la-casa-de-shakespeare/,Clásico,2026-09-06 12:56:22,https://assets.lectulandia.co/b/Benito%20Perez%20Galdos/La%20casa%20de%20Shakespeare%20(14)/big.jpg
Los dos hidalgos de Verona,William Shakespeare,"Clásico, Teatro",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/los-dos-hidalgos-de-verona/,Clásico,2026-09-06 12:56:25,https://assets.lectulandia.co/b/William%20Shakespeare/Los%20dos%20hidalgos%20de%20Verona%20(6)/big.jpg
Llenos de vida,John Fante,"Clásico, Humor, Relato",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/llenos-de-vida/,Clásico,2026-09-06 12:56:28,https://assets.lectulandia.co/b/John%20Fante/Llenos%20de%20vida%20(16)/big.jpg
Morfina,Mijaíl Bulgákov,"Clásico, Cuentos",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/morfina/,Clásico,2026-09-06 12:56:31,https://assets.lectulandia.co/b/Mijail%20Bulgakov/Morfina%20(7)/big.jpg
Marido y mujer,Wilkie Collins,"Clásico, Intriga",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/marido-y-mujer/,Clásico,2026-09-06 12:56:34,https://assets.lectulandia.co/b/Wilkie%20Collins/Marido%20y%20mujer%20(7)/big.jpg
Del asesinato considerado como una de las bellas artes,Thomas De Quincey,"Clásico, Humor",N/D,"""Del asesinato considerado como una de las Bellas Artes"" es un ensayo de Thomas De Quincey publicado por primera vez en 1827 en la revista Blackwood, es una de las obras maestras del humor negro. En ella Thomas Quincey concibe la muerte como un espectáculo digno de ser visto y gozado. Cuando el asesinato está cometido y no podemos hacer nada por las víctimas, debemos dejar de considerarlo moralmente y pasar a juzgarlo como obra artística según las leyes del buen gusto. Con este planteamiento, De Quincey se retrotrae al ""primer asesinato"", es decir, el cometido por Caín sobre Abel, y a otros famosos de la historia, hasta concluir en los de mayor actualidad en el mundo anglosajón de la época. A este respecto, dice desdeñar el veneno y demás ""innovaciones abominables venidas de Italia"" en favor del tradicional corte de garganta. Pretende discutir con los detractores del asesinato dado que ""cuando se les oye hablar se creería que ser asesinado tiene todas las desventajas e inconvenientes y que no las tiene el no ser asesinado"", y recuerda a continuación las enfermedades y los pesares de que está libre el asesinado. Recuerda que Marco Aurelio dijo que una de las funciones más nobles de la razón consiste en distinguir si es o no tiempo de irse de este mundo, y dice agradecer a los artistas del asesinato que se dediquen a instruir gratuitamente a los demás en esta rama de la ciencia, si bien se apresura a aclarar que muy pocos cometen asesinatos por principios filantrópicos. Se centra especialmente en una serie de asesinatos cometidos en 1811 por John Williams en el barrio de Ratcliffe Highway , Londres . El ensayo fue recibido con entusiasmo y dio lugar a numerosas secuelas, como ""un segundo artículo sobre Asesinato Considerado como una de las Bellas Artes"" en 1839 y un ""Postscript"" en 1854. Estos ensayos han ejercido una fuerte influencia en posteriores representaciones literarias de la delincuencia y fueron alabados por la crítica como GK Chesterton , Wyndham Lewis y George Orwell",https://ww3.lectulandia.co/book/del-asesinato-considerado-como-una-de-las-bellas-artes/,Clásico,2026-09-06 12:56:37,https://assets.lectulandia.co/b/Thomas%20De%20Quincey/Del%20asesinato%20considerado%20como%20una%20de%20la%20(5492)/big.jpg
Dafnis y Cloe,Longo,Clásico,N/D,"Dafnis y Cloe, dos niños encontrados por pastores, se crían juntos y nace entre ellos un mutuo amor que ninguno sospecha. El desarrollo de esta simple pasión representa el principal interés, y hay pocos incidentes. Cloe es secuestrada por un pirata, y finalmente recupera a su familia. Los rivales perturban la paz de Dafnis, pero ambos amantes son reconocidos por sus padres, y regresan a una feliz vida de casados al campo.",https://ww3.lectulandia.co/book/dafnis-y-cloe/,Clásico,2026-09-06 12:56:40,https://assets.lectulandia.co/b/Longo/Dafnis%20y%20Cloe%20(5466)/big.jpg
Mansfield Park,Jane Austen,"Clásico, Romántico",N/D,"Fanny Price es una niña todavía cuando sus tíos la acogen en su mansión de Mansfield Park, rescatándola de una vida de estrecheces y de necesidades. Allí, ante su mirada amedrentada, desfilará un mundo de ocio y de refinamiento en el que las inocentes diversiones alimentarán maquinaciones y estrategias de seducción. Ese mundo oculta una verdad peligrosa y sólo Fanny, desde su sumiso silencio, será capaz de atisbar sus consecuencias y amenazas. Mansfield Park recrea un orden familiar y social que se deshace y restaura engañosamente a través de los ojos ambiguos de una jovencita a quien se ha asignado la suerte y el destino de una Cenicienta. Publicada en 1814, Mansfield Park es, probablemente, la novela más densa y compleja de la autora, todo un prodigio de arquitectura narrativa y de profundidad psicológica.",https://ww3.lectulandia.co/book/mansfield-park/,Clásico,2026-09-06 12:56:43,https://assets.lectulandia.co/b/Jane%20Austen/Mansfield%20Park%20(5422)/big.jpg
La educación sentimental,Gustave Flaubert,Clásico,N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/la-educacion-sentimental/,Clásico,2026-09-06 12:56:45,https://assets.lectulandia.co/b/Gustave%20Flaubert/La%20educacion%20sentimental%20(5437)/big.jpg
Textos fronterizos,Horacio Quiroga,"Clásico, Ensayo, Relato",N/D,"Al final de su vida, Horacio Quiroga, desencantado por el desdén de los jóvenes vanguardistas porteños, se retira de la vida pública y se muda con su familia a San Ignacio, provincia de Misiones. Desde allí, escribe una serie de artículos (“Croquis del monte”) con amplias incursiones en el terreno de la ficción. Verdaderos «textos fronterizos» por partida doble: por tener como escenario la frontera argentino-paraguaya, y por estar también en el límite entre divulgación y ficción, entre el documental y el relato. En los nueve textos escogidos, encontrará el lector hallazgos literarios tan sutiles que le será muy difícil definir en qué consiste el arte de su autor. El último de ellos, “La tragedia de los ananás”, tiene además un valor biográfico especial, pues apareció en ‘La Prensa’ el primer día del año 1937, mes y medio antes de su partida definitiva.",https://ww3.lectulandia.co/book/textos-fronterizos/,Clásico,2026-09-06 12:56:47,https://assets.lectulandia.co/b/Horacio%20Quiroga/Textos%20fronterizos%20(5410)/big.jpg
Las aventuras de Pinocho,Carlo Collodi,"Clásico, Cuentos, Ensayo",N/D,"Aunque se trata de uno de los libros más populares del mundo, Las aventuras de Pinocho es, al mismo tiempo, una obra desconocida y eclipsada por la versión de Walt Disney, que por otra parte guarda muy poca relación con el original. La historia de una marioneta que logra cobrar vida no es aquí un cuento moralizante ni sentimental, sino una obra profundamente subversiva sobre la infancia perdida, una historia transida de crueldad, magia y sátira. El personaje de Pinocho es una de las grandes creaciones de la historia de la literatura, en cuya aventura se entreveran la picaresca, el teatro callejero, los cuentos de hadas, de un modo que anticipa el surrealismo e incluso el realismo mágico. Lleno de personajes memorables y compuesto con la inevitable lógica de un sueño, Pinocho es un clásico de vida inagotable.",https://ww3.lectulandia.co/book/las-aventuras-de-pinocho/,Clásico,2026-09-06 12:56:50,https://assets.lectulandia.co/b/Carlo%20Collodi/Las%20aventuras%20de%20Pinocho%20(5411)/big.jpg
El rey Lear,William Shakespeare,"Clásico, Drama, Teatro",N/D,"El anciano Lear decide abdicar y legar el trono a sus hijas. Pero, dudando a cuál de ellas hacerlo, opta por someterlas a prueba. A las dos más cariñosas, Regan y Goneril, les cede una parte del Reino, pero a Cordelia, la que de verdad lo quiere aunque sea más hosca, la deshereda, pensando que no lo ama. Con el tiempo se demostrará que la realidad era precisamente al revés y la única que permanece al lado de su padre es Cordelia, mientras sus hermanas se disputan el trono. Todo ello desencadena hechos trágicos en los que ejercen un importante papel el conde de Glocester y sus hijos, cuyas circunstancias se configuran como una acción secundaria de la principal. Drama viejo como el mundo. Pero la equivocación en un gran hombre tiene consecuencias grandes, y Lear verá pronto cómo su decisión de retiro del mundo es acatada por sus hijas Goneril y Regan con un fervor que desafía sus mayores expectativas. Despojado, escarnecido, vilipendiado y atormentado por su injusticia hacia Cordelia y el Conde de Kent (conmovedor este personaje con su fidelidad por encima de todo, incluso después de caer en desgracia), Lear acaba por perder la razón. Así como en Julio César la ausencia del líder era el nudo central de la trama, aquí la locura de Lear, es otra forma de muerte, se instala casi desde el principio, y sus efectos se hacen notar en seguida, exponencialmente, como en un cataclismo. Cunde el caos, los partidismos, las traiciones. Un drama sobrecogedor —palabra un poco gastada, pero aquí más justa que nunca— sobre la condición humana, las miserias de la vejez y los finos límites que bordean la locura; un límite a menudo decidido de manera arbitrariamente interesada. También es una de las pocas obras de Shakespeare con una tremenda explícita escena de tortura, que resalta aún más su filiación directa, descarnada, brutal, con lo más profundo de la tragedia griega. Shakespeare nunca repite sus encantos, pero esta obra es de esas que tienen un brillo especial, un lugar aparte de oscuro talismán de muerte. Igual que Macbeth es única, igual que Hamlet es única, igual que El mercader de Venecia es única… En realidad Shakespeare es siempre único.",https://ww3.lectulandia.co/book/el-rey-lear/,Clásico,2026-09-06 12:56:53,https://assets.lectulandia.co/b/William%20Shakespeare/El%20rey%20Lear%20(5420)/big.jpg
El mundo de Guermantes,Marcel Proust,Clásico,En busca del tiempo perdido,"Tercera parte de En busca del tiempo perdido. Obra cumbre de la literatura del siglo XX. La integración, por fin, en el anhelado espacio de los Guermantes tiene lugar en París, donde el narrador logra instalarse en una dependencia de la residencia de los aristócratas. Ahora, su inquieta pasión amorosa le ha llevado a poner los ojos en la duquesa, un ideal inalcanzable al que, pese a todo, sigue hasta su retiro de Doncières, donde se halla prestando su servicio militar el joven Robert de Saint-Loup. A partir de aquí, los acontecimientos se suceden vertiginosamente en la memoria del narrador, que entabla amistad con la actriz Rachel (amante de Robert), pierde a su abuela materna y se enamora de Albertine, una de las ""muchachas en flor"". Por aquel tiempo (en el que acude con asiduidad al elegante salón de Mme. de Villeparisis), el protagonista descubre la condición de homosexual del barón de Charlus.",https://ww3.lectulandia.co/book/el-mundo-de-guermantes/,Clásico,2026-09-06 12:56:55,https://assets.lectulandia.co/b/Marcel%20Proust/El%20mundo%20de%20Guermantes%20(5376)/big.jpg
